Identifier,County,Precinct Name,Location Name,Address,City,Zip,Auth 1,Auth 2,,,,,,,,
111,Black Hawk,WL 5-2,KINGSLEY ELEMENTARY GYM,201 SUNSET RD,WATERLOO,50701,CPGtUgv9,Wi0qUayF,0,0,0,0,0,0,0,0
112,Black Hawk,WL 5-3,IRVING ELEMENTARY - LUNCHROOM,1115 W 5TH ST,WATERLOO,50702,Ka6gUSgy,05DQx5kE,0,0,0,0,0,0,0,0
113,Black Hawk,WL 5-4,WEST HIGH - CAFETERIA,425 E RIDGEWAY AVE,WATERLOO,50702,W0ntj1MR,OU8eolFR,0,0,0,0,0,0,0,0
114,Black Hawk,WL 5-5,WEST HIGH - AUDITORIUM,425 E RIDGEWAY AVE,WATERLOO,50702,mqvwX55N,citAQoZm,0,0,0,0,0,0,0,0
115,Black Hawk,WL 5-6,WATERLOO CENTER FOR THE ARTS - PETERSON TOWN HALL,225 COMMERCIAL ST,WATERLOO,50701,ZrfGr199,VC4VQ5CW,0,0,0,0,0,0,0,0
116,Black Hawk,Washington Janesville,EAGLE'S CLUB,2125 W LONE TREE RD,CEDAR FALLS,50613,D5A9tODO,XbKblSCI,0,0,0,0,0,0,0,0
117,Boone,Boone 1st Ward,"BOONE MIDDLE SCHOOL, COMMONS",1640 1ST ST,BOONE,50036,pMiiOrr6,wx5kKJJ8,0,0,0,0,0,0,0,0
118,Boone,Boone 2nd Ward,"DMACC, AUDITORIUM",1125 HANCOCK DR,BOONE,50036,paBopaDA,GxFPLNo3,0,0,0,0,0,0,0,0
119,Boone,Boone 3rd Ward,"BOONE HIGH SCHOOL, COMMONS",500 7TH ST,BOONE,50036,HJYoGsH5,ayVznRE6,0,0,0,0,0,0,0,0
120,Boone,Boone 4th Ward,"BOONE HIGH SCHOOL, AUDITORIUM",500 7TH ST,BOONE,50036,A0lrS9Q5,qn6b4tbN,0,0,0,0,0,0,0,0
121,Boone,Boone 5th Ward,"FRANKLIN ELEMENTARY SCHOOL, CAFETERIA",1903 CRAWFORD ST,BOONE,50036,aSw5rs6R,1AqMXVLH,0,0,0,0,0,0,0,0
122,Boone,Madrid 1st Ward,LUTHER COMMUNITY CENTER,7 LUTHER ST,LUTHER,50152,JhuZhwjB,B64hmU8o,0,0,0,0,0,0,0,0
123,Boone,Madrid 2nd Ward,"MADRID HIGH SCHOOL, MUSIC ROOM",599 N KENNEDY AVE,MADRID,50156,H1XUizDW,5Z6lSy8R,0,0,0,0,0,0,0,0
124,Boone,Madrid 3rd Ward,"MADRID HIGH SCHOOL, LIBRARY",599 N KENNEDY AVE,MADRID,50156,8isYHMnZ,tFdAXglW,0,0,0,0,0,0,0,0
125,Boone,Ogden,"OGDEN ELEMENTARY SCHOOL, GYM",313 W SYCAMORE ST,OGDEN,50212,ZEZLBaDl,jiUhQHKv,0,0,0,0,0,0,0,0
126,Boone,Rural Precinct 1,"MADRID HIGH SCHOOL, STUDENT CENTER",599 N KENNEDY AVE,MADRID,50156,N3TSf0Yx,ageo1yAD,0,0,0,0,0,0,0,0
127,Boone,Rural Precinct 2,"MADRID HIGH SCHOOL, GYM",599 N KENNEDY AVE,MADRID,50156,IDA2PUgT,kQD6clKm,0,0,0,0,0,0,0,0
128,Boone,Rural Precinct 3,"WOODWARD RESOURCE CENTER, MYERS HALL GYM",34 CEDAR ST,WOODWARD,50276,5SdcElRP,V8kniCJG,0,0,0,0,0,0,0,0
129,Boone,Rural Precinct 4,"OGDEN ELEMENTARY SCHOOL, CAFETERIA",313 W SYCAMORE ST,OGDEN,50212,KkV1drj6,rqDGCrYE,0,0,0,0,0,0,0,0
130,Boone,Rural Precinct 5,PILOT MOUND COMMUNITY CENTER,112 PILOT ST,PILOT MOUND,50223,mOQhOs9A,EXGsyljx,0,0,0,0,0,0,0,0
131,Boone,Rural Precinct 6,"UNITED COMMUNITY SCHOOL, LUNCHROOM",1284 U AVE,BOONE,50036,TQOXgFxR,hXQMeUop,0,0,0,0,0,0,0,0
132,Bremer,CITY OF DENVER/JEFFERSON TWP,"DENVER HIGH SCHOOL, CAFETERIA",541 E EAGLE ST,DENVER,50622,HgTuy1pR,1c9M8NTd,0,0,0,0,0,0,0,0
133,Bremer,CITY OF FREDERIKA- FREDERIKA & LEROY TWP,FREDERIKA COMMUNITY HALL,113 3RD ST,FREDERIKA,50674,iTMJl3TV,GzPWKQQU,0,0,0,0,0,0,0,0
